"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 08 16:29:31 UTC 2025","Sun Jun 08 16:29:31 UTC 2025","283","","tests.UserAuthTests","","tests.UserAuthTests","testLogin","User Login","Login with the credentials used during signup"
"passed","Sun Jun 08 16:29:30 UTC 2025","Sun Jun 08 16:29:30 UTC 2025","11","","tests.GetBookTest","","tests.GetBookTest","testGetBookInvalidIdFormat","Get book with invalid book ID format (Negative)","Checks if API handles an invalid ID format properly with a 422 status."
"passed","Sun Jun 08 16:29:31 UTC 2025","Sun Jun 08 16:29:31 UTC 2025","275","","tests.UserAuthTests","","tests.UserAuthTests","testLoginWrongPassword","Login with Wrong Password","Attempt to login with the correct email but wrong password"
"passed","Sun Jun 08 16:29:32 UTC 2025","Sun Jun 08 16:29:32 UTC 2025","10","","tests.UpdateBookTest","","tests.UpdateBookTest","testUpdateNonExistentBook","Update non-existent book (Negative)","Checks that updating a book with a non-existent ID returns a 404 error."
"passed","Sun Jun 08 16:29:29 UTC 2025","Sun Jun 08 16:29:30 UTC 2025","415","","tests.CreateBookTest","","tests.CreateBookTest","testCreateBook","Create a new book successfully (Positive)","This test verifies that a book can be created successfully with valid details."
"passed","Sun Jun 08 16:29:30 UTC 2025","Sun Jun 08 16:29:30 UTC 2025","13","","tests.GetBookTest","","tests.GetBookTest","testGetNonExistentBook","Get non-existent book by ID (Negative)","Validates that the API returns 404 for a non-existent book ID."
"passed","Sun Jun 08 16:29:29 UTC 2025","Sun Jun 08 16:29:29 UTC 2025","15","","tests.DeleteBookTest","","tests.DeleteBookTest","testDeleteBookNotFound","Delete book - Book Not Found (Negative)","This test ensures the API returns 404 when attempting to delete a non-existent book ID."
"passed","Sun Jun 08 16:29:30 UTC 2025","Sun Jun 08 16:29:30 UTC 2025","286","","tests.UserAuthTests","","tests.UserAuthTests","testSignup","User Signup","Register a new user with valid email and password"
"passed","Sun Jun 08 16:29:30 UTC 2025","Sun Jun 08 16:29:30 UTC 2025","37","","tests.CreateBookTest","","tests.CreateBookTest","testCreateBookDuplicateId","Create Book - Duplicate Book ID (Negative)","This test ensures the API rejects book creation with an already used ID."
"passed","Sun Jun 08 16:29:30 UTC 2025","Sun Jun 08 16:29:31 UTC 2025","300","","tests.UserAuthTests","","tests.UserAuthTests","testDuplicateSignup","Duplicate Signup","Attempt to sign up with an already registered email"
"passed","Sun Jun 08 16:29:32 UTC 2025","Sun Jun 08 16:29:32 UTC 2025","63","","tests.UpdateBookTest","","tests.UpdateBookTest","testUpdateBook","Update book successfully (Positive)","Ensures a book's details can be updated successfully when a valid ID is provided."
"passed","Sun Jun 08 16:29:30 UTC 2025","Sun Jun 08 16:29:30 UTC 2025","39","","tests.GetBookTest","","tests.GetBookTest","testGetBook","Get created book by ID (Positive)","Verifies that a book can be retrieved successfully by its ID after creation."
"passed","Sun Jun 08 16:29:30 UTC 2025","Sun Jun 08 16:29:30 UTC 2025","18","","tests.CreateBookTest","","tests.CreateBookTest","testCreateBookMissingFields","Create Book - Missing Required Fields (Negative)","This test checks that creating a book without 'name' fails with proper error response."
"passed","Sun Jun 08 16:29:31 UTC 2025","Sun Jun 08 16:29:31 UTC 2025","9","","tests.UserAuthTests","","tests.UserAuthTests","testLoginWrongEmail","Login with Wrong Email","Attempt to login with a wrong email and correct password"
"passed","Sun Jun 08 16:29:29 UTC 2025","Sun Jun 08 16:29:29 UTC 2025","92","","tests.DeleteBookTest","","tests.DeleteBookTest","testDeleteBook","Delete book (Positive)","This test validates successful deletion of an existing book by ID."
